consumerid,choice,value_total,treattype,pg_km_adj,pgmidgrade_km_adj,pe_km_adj,dv_ctb,dv_bh,dv_rec,dv_female,dv_age_25to40y,dv_age_morethan65y,dv_somesecondary,dv_somecollege,dv_carpriceadj_p75p100,dv_usageveh_p75p100,stationvisit_avgcarprice_adj
1,1,93.01,0,.2776583,.2879457,.2788748,0,0,0,1,0,0,0,1,1,0,30.71706
2,1,110.23,0,.2735587,.2836942,.2747115,0,0,0,0,0,0,0,1,1,1,30.71706
3,1,20,0,.3047666,.3160584,.3161892,0,0,0,1,0,0,0,1,0,0,30.71706
4,1,60,0,.2882134,.298892,.3031642,0,0,0,0,0,0,1,0,0,1,30.71706
5,1,108.88,0,.2472283,.2563883,.2623814,0,0,0,1,0,0,0,1,0,1,30.71706
6,1,30,0,.3069878,.318362,.3135533,0,0,0,0,1,0,0,1,1,0,30.71706
7,1,20,0,.2862376,.2968429,.2875915,0,0,0,1,0,0,0,1,0,0,30.71706
8,1,30,0,.2606505,.2703078,.2667125,0,0,0,0,1,0,1,0,0,0,30.71706
9,3,49.03,0,.2890123,.2997204,.3111085,0,0,0,0,0,0,0,1,1,1,30.71706
10,1,40,0,.2897927,.3005297,.3045796,0,0,0,1,0,1,1,0,0,0,30.71706
11,1,71.79,0,.2702366,.2802491,.280465,0,0,0,0,0,1,0,1,1,0,30.71706
12,1,30,0,.2663517,.2762202,.2762546,0,0,0,1,0,1,1,0,1,1,30.71706
13,1,30,0,.2891208,.2998329,.2963691,0,0,0,0,1,0,0,1,0,0,30.71706
14,1,115.09,0,.2903664,.3011248,.2987223,0,0,0,1,1,0,0,1,1,0,30.71706
15,1,50,0,.3206513,.3325317,.325881,0,0,0,0,1,0,1,0,0,1,30.71706
16,1,69.08,0,.3058264,.3171575,.3309342,0,0,0,1,1,0,1,0,0,0,30.71706
17,1,50,0,.2593511,.2689603,.2626453,0,0,0,0,1,0,1,0,0,0,30.71706
18,1,50.85,0,.2658107,.2756592,.2700927,0,0,0,1,0,0,0,1,1,0,30.71706
