consumerid,choice,value_total,pg_km_adj,pgmidgrade_km_adj,pe_km_adj,dv_ctb,dv_bh,dv_rec,dv_female,dv_age_25to40y,dv_age_morethan65y,dv_somesecondary,dv_somecollege,dv_carpriceadj_p75p100,dv_usageveh_p75p100,stationvisit_avgcarprice_adj
1,1,93.01,.2776583,.2879457,.2788748,0,0,0,1,0,0,0,1,1,0,30.71706
2,1,110.23,.2735587,.2836942,.2747115,0,0,0,0,0,0,0,1,1,1,30.71706
3,1,20,.3047666,.3160584,.3161892,0,0,0,1,0,0,0,1,0,0,30.71706
4,1,60,.2882134,.298892,.3031642,0,0,0,0,0,0,1,0,0,1,30.71706
5,1,108.88,.2472283,.2563883,.2623814,0,0,0,1,0,0,0,1,0,1,30.71706
6,1,30,.3069878,.318362,.3135533,0,0,0,0,1,0,0,1,1,0,30.71706
7,1,20,.2862376,.2968429,.2875915,0,0,0,1,0,0,0,1,0,0,30.71706
8,1,30,.2606505,.2703078,.2667125,0,0,0,0,1,0,1,0,0,0,30.71706
9,3,49.03,.2890123,.2997204,.3111085,0,0,0,0,0,0,0,1,1,1,30.71706
10,1,40,.2897927,.3005297,.3045796,0,0,0,1,0,1,1,0,0,0,30.71706
11,1,71.79,.2702366,.2802491,.280465,0,0,0,0,0,1,0,1,1,0,30.71706
12,1,30,.2663517,.2762202,.2762546,0,0,0,1,0,1,1,0,1,1,30.71706
13,1,30,.2891208,.2998329,.2963691,0,0,0,0,1,0,0,1,0,0,30.71706
14,1,115.09,.2903664,.3011248,.2987223,0,0,0,1,1,0,0,1,1,0,30.71706
15,1,50,.3206513,.3325317,.325881,0,0,0,0,1,0,1,0,0,1,30.71706
16,1,69.08,.3058264,.3171575,.3309342,0,0,0,1,1,0,1,0,0,0,30.71706
17,1,50,.2593511,.2689603,.2626453,0,0,0,0,1,0,1,0,0,0,30.71706
18,1,50.85,.2658107,.2756592,.2700927,0,0,0,1,0,0,0,1,1,0,30.71706
55,1,20,.2500953,.2593615,.2555986,0,0,0,0,1,0,0,1,0,0,30.77617
56,3,20,.2596944,.2693163,.2630284,0,0,0,0,1,0,1,0,0,0,30.77617
57,2,20,.2439728,.2530122,.2586928,0,0,0,1,1,0,0,1,0,0,30.77617
58,3,50,.3386207,.3511668,.3447374,0,0,0,0,1,0,0,1,1,1,30.77617
59,1,50,.2666833,.2765642,.2702713,0,0,0,0,0,0,0,1,0,0,30.77617
60,3,94.57,.2816149,.2920489,.2921993,0,0,0,0,0,1,1,0,0,0,30.77617
61,2,101.83,.4040597,.4190305,.4181504,0,0,0,0,1,0,0,0,1,1,30.77617
62,1,50,.3602555,.3736032,.3401916,0,0,0,0,0,0,1,0,1,0,30.77617
63,1,20,.2641398,.2739264,.2726967,0,0,0,0,1,0,0,1,0,0,30.77617
64,1,50,.4554399,.4723143,.4760847,0,0,0,0,1,0,1,0,1,0,30.77617
65,1,50,.3742456,.3881117,.3774473,0,0,0,0,1,0,1,0,1,0,30.77617
66,1,40,.2818827,.2923266,.2831661,0,0,0,1,0,0,0,1,0,0,30.77617
67,3,20,.2733064,.2834327,.2832053,0,0,0,1,1,0,0,1,0,0,30.77617
68,3,50,.3055643,.3168857,.3084843,0,0,0,0,0,0,1,0,1,1,30.77617
69,1,20,.3246739,.3367033,.3306033,0,0,0,1,0,0,0,0,0,0,30.77617
70,3,30,.3602555,.3736032,.3401916,0,0,0,0,0,0,1,0,1,1,30.77617
71,3,94,.2859251,.2965189,.2898118,0,0,0,0,1,0,1,0,1,1,30.77617
72,3,97.4,.2561046,.2655935,.2593217,0,0,0,0,0,0,0,0,0,1,30.77617
109,1,15,.2846923,.2848822,.3119271,0,0,0,0,0,0,0,1,0,0,33.59273
110,1,30,.2846923,.2848822,.3119271,0,0,0,0,0,0,0,1,0,0,33.59273
111,1,50,.3211115,.3213258,.3729469,0,0,0,1,0,0,0,1,0,1,33.59273
112,1,40,.2957777,.2959751,.3415822,0,0,0,0,1,0,0,1,0,1,33.59273
113,1,10,.3303473,.3305677,.3711534,0,0,0,0,1,0,0,1,0,1,33.59273
114,1,30,.3368532,.337078,.373348,0,0,0,0,0,0,0,1,1,0,33.59273
115,1,20,.3726719,.3729206,.4158824,0,0,0,1,0,0,0,1,0,0,33.59273
116,3,115.02,.3232104,.3234261,.3553002,0,0,0,0,0,0,0,1,0,0,33.59273
117,2,30,.2960819,.2962795,.3271494,0,0,0,1,0,0,0,1,0,0,33.59273
118,1,20,.2886878,.2888804,.3163574,0,0,0,0,1,0,0,1,0,0,33.59273
119,1,30,.3553292,.3555663,.3940964,0,0,0,1,0,0,0,1,1,0,33.59273
120,1,100,.3195541,.3197674,.3583567,0,0,0,0,0,0,0,1,1,0,33.59273
121,1,80,.3115587,.3117666,.3609978,0,0,0,1,1,0,0,1,0,0,33.59273
122,3,50,.3759494,.3762003,.4172868,0,0,0,1,0,0,0,1,1,0,33.59273
123,1,20,.3384278,.3386537,.3745623,0,0,0,0,1,0,0,1,1,0,33.59273
124,2,20,.3332367,.333459,.3652391,0,0,0,0,1,0,0,1,0,1,33.59273
125,1,30,.2960819,.2962795,.3271494,0,0,0,1,0,0,0,1,0,0,33.59273
126,3,50,.2974994,.2976979,.3350503,0,0,0,1,1,0,0,1,0,0,33.59273
163,1,50,.4253359,.4395185,.4371005,0,0,0,1,0,0,0,1,1,0,31.5279
164,3,20,.3300212,.3410256,.3380593,0,0,0,1,0,0,0,1,1,0,31.5279
165,1,30,.304671,.31483,.314752,0,0,0,1,0,1,0,1,1,0,31.5279
166,1,30,.320199,.3308758,.3350406,0,0,0,1,0,1,0,1,0,0,31.5279
167,2,50,.317561,.3281499,.3200705,0,0,0,1,1,0,0,1,0,0,31.5279
168,1,115,.3005277,.3105486,.3030894,0,0,0,1,0,0,0,1,0,0,31.5279
169,1,50,.3152942,.3258076,.3296103,0,0,0,1,0,1,0,1,0,0,31.5279
