consumerid,choice,value_total,pg_km_adj,pgmidgrade_km_adj,pe_km_adj,dv_ctb,dv_bh,dv_rec,dv_female,dv_age_25to40y,dv_age_morethan65y,dv_somesecondary,dv_somecollege,dv_carpriceadj_p75p100,dv_usageveh_p75p100,stationvisit_avgcarprice_adj
37,3,10,.2818827,.2923266,.2831661,0,0,0,1,1,0,0,1,0,0,30.71706
38,1,40,.3579599,.3712226,.3637986,0,0,0,0,0,0,0,1,0,1,30.71706
39,3,40,.2866147,.297234,.2889192,0,0,0,0,0,0,0,1,0,1,30.71706
40,3,30,.3020593,.3132508,.3065462,0,0,0,0,0,0,1,0,0,1,30.71706
42,3,10,.2801138,.2904922,.2898797,0,0,0,1,1,0,0,1,0,0,30.71706
43,3,82.02,.2779954,.2882954,.2984019,0,0,0,1,0,0,0,1,0,0,30.71706
44,3,20,.2783567,.28867,.2892831,0,0,0,1,0,0,1,0,1,1,30.71706
45,1,50.02,.2702253,.2802373,.2865383,0,0,0,1,0,0,0,1,0,1,30.71706
46,1,50,.2773985,.2876763,.287632,0,0,0,0,0,0,0,1,0,0,30.71706
47,3,20,.2759419,.2861657,.2853841,0,0,0,1,0,1,0,1,0,1,30.71706
48,1,75.01,.2871346,.2977731,.2945045,0,0,0,0,0,0,0,1,1,1,30.71706
49,1,51.03,.2663517,.2762202,.2762546,0,0,0,0,1,0,0,1,1,1,30.71706
50,3,30,.2641398,.2739264,.2726967,0,0,0,0,0,0,0,1,0,0,30.71706
51,1,155.03,.3163442,.328065,.3049786,0,0,0,0,0,0,0,1,0,0,30.71706
52,1,30,.2806662,.2910651,.2987027,0,0,0,0,0,0,0,1,0,0,30.71706
53,3,50,.2641398,.2739264,.2726967,0,0,0,0,1,0,0,1,0,0,30.71706
54,1,152.06,.3026116,.3138236,.305292,0,0,0,1,0,0,0,1,1,0,30.71706
91,3,10,.2643698,.2741649,.270635,0,0,0,0,1,0,0,1,0,0,30.77617
92,1,10,.2640447,.2738278,.266249,0,0,0,0,0,0,0,1,0,0,30.77617
93,2,30,.4344632,.4505604,.4529195,0,0,0,0,1,0,1,0,1,1,30.77617
94,1,71.38,.2567272,.2662391,.2587611,0,0,0,0,1,0,0,1,0,0,30.77617
95,3,30,.3159872,.3276947,.3191859,0,0,0,0,1,0,0,1,1,1,30.77617
96,3,20,.2735587,.2836942,.2747115,0,0,0,1,1,0,0,1,1,0,30.77617
97,1,20,.2816149,.2920489,.2921993,0,0,0,0,0,0,0,1,0,0,30.77617
98,2,60,.3668357,.3804272,.3698609,0,0,0,0,1,0,0,1,1,1,30.77617
99,3,104.01,.2923669,.3031993,.3008938,0,0,0,0,1,0,0,1,1,0,30.77617
100,3,60.01,.2903252,.301082,.2943948,0,0,0,0,0,0,0,1,1,0,30.77617
101,3,30,.2439728,.2530122,.2586928,0,0,0,1,0,0,1,0,0,0,30.77617
102,1,20,.3394354,.3520117,.3598677,0,0,0,0,0,0,1,0,0,1,30.77617
103,1,50,.2757335,.2859496,.2792028,0,0,0,0,0,0,1,0,0,0,30.77617
104,3,87.32,.2535174,.2629104,.2591988,0,0,0,0,1,0,0,1,0,0,30.77617
105,1,15,.2606505,.2703078,.2667125,0,0,0,0,0,0,0,1,0,1,30.77617
106,3,30,.2439728,.2530122,.2586928,0,0,0,0,0,0,0,0,0,0,30.77617
107,3,25,.2998907,.3110019,.3043236,0,0,0,0,0,0,1,0,1,0,30.77617
108,3,20,.2570345,.2665578,.262902,0,0,0,0,1,0,0,0,0,0,30.77617
145,1,50,.3155519,.3157625,.3505622,0,0,0,1,1,0,0,1,0,1,33.59273
146,3,20,.3174449,.3176567,.3508021,0,0,0,1,1,0,0,1,1,1,33.59273
147,2,30,.2963311,.2965289,.3442158,0,0,0,0,1,0,0,1,0,0,33.59273
148,1,20,.4526067,.4529088,.5113396,0,0,0,0,0,0,0,1,1,0,33.59273
149,1,124.02,.3298011,.3300212,.3702707,0,0,0,0,0,0,0,1,1,0,33.59273
150,1,20,.315084,.3152942,.3610168,0,0,0,1,1,0,0,1,0,1,33.59273
151,2,60,.2879414,.2881336,.3179184,0,0,0,0,1,0,0,1,0,1,33.59273
152,1,50,.3195541,.3197674,.3583567,0,0,0,0,1,0,0,1,1,0,33.59273
153,1,20,.2935133,.2937092,.3275896,0,0,0,1,0,0,0,1,0,0,33.59273
155,1,132,.4079006,.4081728,.4195403,0,0,0,0,1,0,0,1,1,0,33.59273
156,3,20,.3415494,.3417774,.3757744,0,0,0,0,1,0,0,1,1,1,33.59273
157,2,30,.3126489,.3128575,.3524505,0,0,0,1,1,0,0,1,0,0,33.59273
