, est, se, t
ln(elas), -0.659965297865 , 0.0956847339724 , -6.89728936338
ln(mu), 2.40896720118 , 0.0563841426214 , 42.7241967188
ln(sigma), -0.44086351419 , 0.00612288863411 , -72.0025367983
 
*** Expenditure equation
dv_ctb , 0.0614017169374 , 0.0167778501007 , 3.65968920743
dv_bh , 0.0602624131149 , 0.0156111724123 , 3.86021059298
dv_rec , 0.0356108481754 , 0.0163405894498 , 2.17928785769
dv_female , 0.0121604143953 , 0.0120986471561 , 1.00510530132
dv_age_25to40y , -0.0333272897619 , 0.0114349105847 , -2.91452123871
dv_age_morethan65y , 0.103183596399 , 0.0272631803684 , 3.78472338902
dv_somesecondary , 0.0397356398635 , 0.0278783057636 , 1.42532477406
dv_somecollege , 0.215747879842 , 0.0273313351913 , 7.89379217415
dv_carpriceadj_p75p100 , 0.177175565465 , 0.0142581796104 , 12.4262402569
dv_usageveh_p75p100 , 0.165027103381 , 0.0130042321344 , 12.6902612684
stationvisit_avgcarprice_adj , 0.0313191275407 , 0.00240493987927 , 13.0228318016
const , 3.15671803307 , 0.106372617349 , 29.6760398659
 
*** Discrete choice equation
         choice 0
dv_ctb , -6.05913283377 , 1.46687897006 , -4.130629014
dv_bh , -9.34614926561 , 1.20149107823 , -7.7787920651
dv_rec , -13.6819821721 , 1.57102476261 , -8.70895386106
dv_female , -1.90183562777 , 0.951666123687 , -1.99842736904
dv_age_25to40y , -2.36801239363 , 0.908107616588 , -2.60763410677
dv_age_morethan65y , 5.68954662859 , 1.69136452137 , 3.36387961123
dv_somesecondary , -0.427152490675 , 2.17040773167 , -0.19680748665
dv_somecollege , 2.05699307613 , 2.11000948023 , 0.974873855027
dv_carpriceadj_p75p100 , 3.89017089041 , 0.972565677748 , 3.99990558933
dv_usageveh_p75p100 , 3.12787744918 , 0.95286582749 , 3.28260008801
stationvisit_avgcarprice_adj , -0.681881818323 , 0.187603102007 , -3.63470438936
const , 0.0429067084111 , 5.53427171014 , 0.00775290962541
         choice 1
dv_ctb , -1.56400479175 , 0.640419611637 , -2.44215630398
dv_bh , -19.0914288394 , 1.58177314724 , -12.0696377181
dv_rec , -15.6127518857 , 1.50978285582 , -10.3410578717
dv_female , -2.10264441808 , 0.511736209545 , -4.10884432029
dv_age_25to40y , 0.682995682695 , 0.472963690156 , 1.44407635704
dv_age_morethan65y , -0.430304927114 , 1.11859376838 , -0.384683822917
dv_somesecondary , -1.29937538262 , 1.11674785515 , -1.16353514952
dv_somecollege , -1.83515537263 , 1.10318335525 , -1.66350893884
dv_carpriceadj_p75p100 , -1.57046720226 , 0.565160555707 , -2.77879831917
dv_usageveh_p75p100 , -0.0843665630363 , 0.540373268254 , -0.156126455531
stationvisit_avgcarprice_adj , -0.903343156547 , 0.0980121452216 , -9.21664508521
const , 29.5771124021 , 3.05157655199 , 9.69240387658
